descriptions,General,User,Visitor
,General,DateTime,15/04/2025 23:29:38
,General,Origin,"Software revision: rl_tts1_top_hostpc_6e8x0_openloop.sdf, rl_tts1_top_hostpc_6e8x0_openloop.ppc\nVariable description: rl_tts1_top_hostpc_6e8x0_openloop.sdf\n    Platform / Device: Platform [DS1104 R&D Controller Board, assigned to 'ds1104']\nControlDesk version: 7.3"
,General,Description,
,Recording,StartCondition,None (Immediate Recording)
,Recording,StopCondition,None
,Measurement,XAxisOffset,0
,Measurement,Length,535.4371861
,Measurement,StartTimestamp,2.60018064
,Measurement,StopTimestamp,538.0373667
,MDF,Department,
,MDF,Project,
,MDF,MeasurementObject,

trace_size,5355
trace_types,5,4,4,4
trace_names,,In1,In1,In1
trace_units,,,,
devices,Platform,Platform,Platform,Platform
raster,HostService,HostService,HostService,HostService
description,,,,
displayidentifier,,,,
path,,Model Root/Height_T1\n,Model Root/TTS dSPACE RTI1104/PumpLeft,Model Root/TTS dSPACE RTI1104/ValvePos_LD
flags,,2,2,2
min,,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308
max,,1.797693135e+308,1.797693135e+308,1.797693135e+308
minWeak,,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308
maxWeak,,1.797693135e+308,1.797693135e+308,1.797693135e+308
trace_values,0,-14.774986876099305,0,0.81393229166666659
,0.10000690624999997,-13.666545006172711,0,0.81494954427083333
,0.20001384921875021,-13.4591704316007,0,0.81494954427083333
,0.30002083203125007,-15.428126577723063,0,0.81393229166666659
,0.40002777421875013,-13.998644692965911,0,0.81393229166666659
,0.50003471640625019,-13.791039026510994,0,0.81494954427083333
,0.60004161875000017,-13.569752255415729,0,0.81494954427083333
,0.70004856093750023,-14.164833439473586,0,0.81494954427083333
,0.8000555437500001,-14.969389199432827,0,0.81494954427083333
,0.90006248593750016,-16.417514092221502,0,0.81291503906249996
,1.0000694289062499,-14.636205788693651,0,0.81393229166666659
,1.1000763312499999,-14.511358111980414,0,0.81393229166666659
,1.2000832734375,-14.220250298179019,0,0.81494954427083333
,1.3000902554687501,-15.762198912539699,0,0.81291503906249996
,1.4000971976562497,-14.012490214893155,0,0.81494954427083333
,1.5001041398437498,-13.362444962209612,0,0.81494954427083333
,1.6001110421875002,-13.943269038178748,0,0.81494954427083333
,1.7001179843750003,-14.580711467782198,0,0.81494954427083333
,1.80012496640625,-15.525525559926031,0,0.81393229166666659
,1.90013190859375,-17.340193194343541,0,0.81291503906249996
,2.0001388507812501,-15.163918642071804,0,0.81393229166666659
,2.1001457554687497,-14.8721721606255,0,0.81393229166666659
,2.2001527007812505,-15.233424288919718,0,0.81393229166666659
